date,part_time_n,part_time_y,full_time,total_caregivers,part_time_caregivers,full_time_infant_caregivers,comprehensive_caregivers,disease_child_caregivers,institution_linked_caregivers
202001,5060.0,11.0,348.0,192,183,21,0,3,0
202002,4978.0,5.0,393.0,202,193,24,0,5,0
202003,3714.0,0.0,385.0,203,195,25,0,5,0
202004,4311.0,0.0,398.0,204,197,27,0,5,1
202005,4610.0,6.0,380.0,205,199,31,0,5,1
202006,6034.0,0.0,508.0,208,203,37,0,5,10
202007,5895.0,6.0,533.0,208,203,39,0,7,10
202008,4759.0,7.0,444.0,209,204,39,0,9,12
202009,5705.0,8.0,429.0,209,204,40,0,11,12
202010,5650.0,4.0,422.0,210,204,42,0,12,13
202011,6079.0,0.0,433.0,242,225,44,0,12,22
202012,6732.0,1.0,473.0,245,232,45,0,12,26
202101,5884.0,5.0,430.0,199,182,23,0,1,6
202102,5374.0,0.0,441.0,207,197,28,0,1,6
202103,7428.0,3.0,343.0,214,208,30,0,1,8
202104,7917.0,4.0,262.0,219,212,32,0,3,11
202105,7080.0,12.0,229.0,219,212,32,0,6,12
202106,7447.0,1.0,311.0,236,223,34,0,7,17
202107,7125.0,5.0,294.0,236,227,34,0,8,19
202108,6475.0,5.0,274.0,236,227,34,0,10,19
202109,6609.0,2.0,239.0,236,229,34,0,12,20
202110,6969.0,18.0,246.0,236,230,34,0,15,21
202111,7920.0,14.0,259.0,236,230,34,0,19,21
202112,7492.0,9.0,218.0,236,230,34,0,21,21
202201,6911.0,13.0,226.0,202,193,9,0,3,7
202202,5724.0,6.0,213.0,205,199,11,0,3,7
202203,6061.0,8.0,112.0,206,203,12,0,5,12
202204,6645.0,7.0,138.0,206,204,13,0,5,13
202205,7160.0,1.0,179.0,211,205,14,0,6,17
202206,7127.0,4.0,184.0,233,221,16,0,8,17
202207,7017.0,16.0,187.0,238,228,17,0,11,19
202208,6827.0,60.0,210.0,238,231,18,0,24,19
202209,7660.0,44.0,220.0,238,231,20,0,32,24
202210,7919.0,5.0,181.0,238,232,21,0,35,28
202211,8923.0,5.0,212.0,238,234,23,0,38,30
202212,8576.0,18.0,216.0,238,234,26,0,41,31
202301,7258.0,11.0,109.0,218,212,8,0,7,5
202302,7571.0,11.0,57.0,230,226,9,0,13,6
202303,9150.0,16.0,43.0,232,229,9,0,21,9
202304,8476.0,51.0,57.0,233,231,10,0,36,13
202305,9075.0,78.0,72.0,234,231,11,0,53,13
202306,9016.0,21.0,79.0,235,232,11,0,60,14
202307,8481.0,44.0,79.0,235,232,11,0,65,20
