,시군구별,2018,2019,2020,2021,2022
서울특별시,서울특별시,0.761,0.717,0.642,0.626,0.593
서울특별시,종로구,0.606,0.648,0.522,0.531,0.477
서울특별시,중구,0.737,0.78,0.688,0.634,0.606
서울특별시,용산구,0.747,0.713,0.634,0.664,0.596
서울특별시,성동구,0.909,0.855,0.783,0.764,0.723
서울특별시,광진구,0.713,0.652,0.527,0.525,0.461
서울특별시,동대문구,0.753,0.765,0.699,0.66,0.62
서울특별시,중랑구,0.825,0.777,0.66,0.65,0.659
서울특별시,성북구,0.737,0.707,0.676,0.656,0.649
서울특별시,강북구,0.647,0.617,0.55,0.541,0.483
서울특별시,도봉구,0.774,0.697,0.601,0.579,0.573
서울특별시,노원구,0.809,0.776,0.695,0.701,0.716
서울특별시,은평구,0.772,0.697,0.623,0.604,0.613
서울특별시,서대문구,0.727,0.685,0.685,0.635,0.607
서울특별시,마포구,0.733,0.681,0.594,0.587,0.529
서울특별시,양천구,0.771,0.742,0.644,0.645,0.608
서울특별시,강서구,0.826,0.76,0.675,0.617,0.588
서울특별시,구로구,0.838,0.794,0.737,0.737,0.684
서울특별시,금천구,0.796,0.709,0.668,0.612,0.588
서울특별시,영등포구,0.851,0.829,0.705,0.713,0.671
서울특별시,동작구,0.737,0.697,0.655,0.602,0.567
서울특별시,관악구,0.597,0.536,0.474,0.437,0.422
서울특별시,서초구,0.8,0.715,0.656,0.666,0.599
서울특별시,강남구,0.631,0.612,0.537,0.523,0.49
서울특별시,송파구,0.8,0.77,0.665,0.623,0.598
서울특별시,강동구,0.82,0.758,0.748,0.797,0.719
부산광역시,부산광역시,0.899,0.827,0.747,0.728,0.723
부산광역시,중구,0.698,0.504,0.445,0.381,0.462
부산광역시,서구,0.736,0.689,0.661,0.647,0.649
부산광역시,동구,0.702,0.727,0.728,0.777,0.735
부산광역시,영도구,0.707,0.639,0.577,0.549,0.692
부산광역시,부산진구,0.811,0.712,0.621,0.655,0.624
부산광역시,동래구,0.813,0.819,0.801,0.778,0.819
부산광역시,남구,0.816,0.77,0.675,0.687,0.619
부산광역시,북구,0.992,0.852,0.771,0.764,0.816
부산광역시,해운대구,0.841,0.811,0.736,0.687,0.682
부산광역시,사하구,0.925,0.816,0.758,0.687,0.725
부산광역시,금정구,0.788,0.761,0.625,0.629,0.58
부산광역시,강서구,1.611,1.442,1.259,1.17,1.179
부산광역시,연제구,0.936,0.909,0.793,0.764,0.737
부산광역시,수영구,0.77,0.711,0.656,0.641,0.646
부산광역시,사상구,0.919,0.797,0.679,0.66,0.604
부산광역시,기장군,1.241,1.151,1.086,0.995,0.956
대구광역시,대구광역시,0.987,0.932,0.807,0.785,0.757
대구광역시,중구,1.001,0.886,0.788,0.783,0.804
대구광역시,동구,1.024,0.963,0.82,0.814,0.795
대구광역시,서구,0.694,0.616,0.497,0.47,0.459
대구광역시,남구,0.683,0.663,0.567,0.549,0.492
대구광역시,북구,1.075,0.961,0.875,0.808,0.805
대구광역시,수성구,0.763,0.722,0.628,0.676,0.69
대구광역시,달서구,0.895,0.889,0.743,0.725,0.676
대구광역시,달성군,1.615,1.517,1.321,1.247,1.135
인천광역시,인천광역시,1.006,0.94,0.829,0.778,0.747
인천광역시,중구,1.018,0.993,0.816,0.822,0.803
인천광역시,동구,1.005,0.995,0.697,0.688,0.679
인천광역시,남구,0,0,0,0,0
인천광역시,연수구,1.059,1.013,0.946,0.902,0.85
인천광역시,남동구,1.006,0.915,0.808,0.723,0.663
인천광역시,부평구,0.954,0.839,0.713,0.667,0.675
인천광역시,계양구,0.904,0.829,0.669,0.685,0.626
인천광역시,서구,1.119,1.077,0.95,0.893,0.867
인천광역시,강화군,1.064,1.251,1.312,1.166,1.126
인천광역시,옹진군,1.341,1.293,1.125,1.05,0.995
인천광역시,미추홀구,0.951,0.878,0.798,0.713,0.673
광주광역시,광주광역시,0.972,0.913,0.811,0.896,0.844
광주광역시,동구,0.831,0.803,0.802,0.986,0.96
광주광역시,서구,0.873,0.826,0.712,0.725,0.701
광주광역시,남구,0.88,0.861,0.753,0.843,0.813
광주광역시,북구,0.992,0.922,0.827,0.95,0.846
광주광역시,광산구,1.119,1.028,0.9,0.972,0.933
대전광역시,대전광역시,0.952,0.883,0.805,0.81,0.842
대전광역시,동구,0.903,0.867,0.787,0.819,0.788
대전광역시,중구,0.882,0.812,0.697,0.727,0.713
대전광역시,서구,0.903,0.839,0.785,0.755,0.795
대전광역시,유성구,1.083,0.987,0.906,0.909,0.958
