"시군구별",2018,2019,2020,2021,2022
"서울특별시",52005,48261,44746,37012,35752
"종로구",676,590,565,478,486
"중구",778,722,653,590,511
"용산구",1400,1303,1175,995,948
"성동구",2000,1758,1573,1272,1179
"광진구",2164,1893,1661,1399,1317
"동대문구",1747,1613,1524,1228,1201
"중랑구",2253,2031,1850,1618,1723
"성북구",1919,1880,1672,1471,1429
"강북구",1344,1260,1041,891,838
"도봉구",1471,1316,1187,963,940
"노원구",2240,2138,1961,1765,1748
"은평구",2364,2178,2061,1590,1585
"서대문구",1393,1440,1260,1042,1051
"마포구",2229,2029,1929,1578,1520
"양천구",1957,1705,1637,1359,1339
"강서구",3835,3589,3233,2669,2614
"구로구",2286,2063,2063,1671,1562
"금천구",1269,1243,1285,1061,1149
"영등포구",2664,2449,2421,2079,1978
"동작구",2097,2057,1906,1568,1481
"관악구",3090,2802,2529,2110,1981
"서초구",2234,2084,1861,1469,1306
"강남구",2519,2338,2046,1680,1666
"송파구",3705,3651,3220,2574,2555
"강동구",2371,2129,2433,1892,1645
"부산광역시",14781,13780,12128,11081,10618
"중구",184,163,135,164,125
"서구",420,391,343,347,319
"동구",384,369,425,388,339
"영도구",413,366,307,304,286
"부산진구",1741,1475,1418,1336,1244
"동래구",1064,1058,974,793,768
"남구",1065,1045,761,702,671
"북구",1238,1084,1016,971,983
"해운대구",1456,1471,1306,1137,1048
"사하구",1505,1337,1096,963,990
"금정구",930,815,663,653,590
"강서구",851,804,712,699,651
"연제구",904,997,806,688,665
"수영구",856,814,697,561,624
"사상구",998,845,730,722,616
"대구광역시",10967,9880,8340,7287,7497
"중구",428,363,311,286,357
"동구",1725,1510,1288,1224,1254
"서구",766,605,492,415,407
"남구",667,625,521,467,467
"북구",1984,1810,1546,1335,1394
"수성구",1314,1213,1072,1007,946
"달서구",2379,2249,1895,1532,1599
"달성군",1704,1505,1215,1021,1073
"인천광역시",14850,13401,11574,10881,10849
"중구",709,757,661,704,671
"동구",308,238,172,195,213
"남구",0,0,0,0,0
"연수구",1546,1751,1539,1466,1229
"남동구",2679,2311,2095,1788,1785
"부평구",2651,2191,1872,1774,1791
"계양구",1493,1249,1020,1009,1004
"서구",2935,2692,2225,2076,2268
"미추홀구",2200,1883,1709,1588,1651
"광주광역시",6632,6297,5560,4901,4902
"동구",378,430,410,368,381
"서구",1289,1263,1044,911,902
"남구",837,789,721,586,660
"북구",2178,1887,1694,1536,1504
"광산구",1950,1928,1691,1500,1455
"대전광역시",7377,6602,5976,5419,5662
"동구",983,937,799,771,782
"중구",1034,901,758,666,729
"서구",2446,2213,2059,1862,1888
"유성구",2107,1879,1721,1470,1588
"대덕구",807,672,639,650,675
"울산광역시",5894,5442,4737,4077,4013
"중구",1038,952,790,661,645
"남구",1662,1540,1395,1189,1141
"동구",882,703,630,531,498
"북구",1241,1274,1047,927,918
"세종특별자치시",2038,2039,1854,1627,1664
"세종시",2038,2039,1854,1627,1664
"경기도",66877,62356,57814,54658,54178
"수원시",6902,6026,5539,5229,5111
"장안구",1237,1053,960,910,924
"권선구",2293,1978,1800,1674,1659
"팔달구",1077,892,764,866,913
"영통구",2295,2103,2015,1779,1615
"성남시",5228,4453,4269,3565,3865
"수정구",1408,1223,1213,1027,1003
"중원구",1217,1088,1039,868,930
"분당구",2603,2142,2017,1670,1932
"의정부시",2025,1876,1800,1630,1732
"안양시",2935,2693,2337,2229,2305
"만안구",1254,1167,1020,966,946
"동안구",1681,1526,1317,1263,1359
"부천시",4434,3646,3225,3183,3013
"원미구",0,0,0,0,0
"소사구",0,0,0,0,0
"오정구",0,0,0,0,0
"광명시",1674,1489,1230,1103,1113
"평택시",2886,3016,2863,2896,2915
"동두천시",433,361,327,335,312
"안산시",3589,3332,2918,2709,2620
"상록구",1970,1654,1461,1365,1373
"단원구",1619,1678,1457,1344,1247
"고양시",4317,4440,4188,4172,3905
"덕양구",2009,2141,2031,2129,1982
"일산구",0,0,0,0,0
"일산동구",1275,1169,1097,1076,1026
"일산서구",1033,1130,1060,967,897
"과천시",232,240,311,340,484
"구리시",923,793,730,680,691
