,시군구별,2018,2019,2020,2021,2022
,서울특별시,52005,48261,44746,37012,35752
서울특별시,종로구,676,590,565,478,486
서울특별시,중구,778,722,653,590,511
서울특별시,용산구,1400,1303,1175,995,948
서울특별시,성동구,2000,1758,1573,1272,1179
서울특별시,광진구,2164,1893,1661,1399,1317
서울특별시,동대문구,1747,1613,1524,1228,1201
서울특별시,중랑구,2253,2031,1850,1618,1723
서울특별시,성북구,1919,1880,1672,1471,1429
서울특별시,강북구,1344,1260,1041,891,838
서울특별시,도봉구,1471,1316,1187,963,940
서울특별시,노원구,2240,2138,1961,1765,1748
서울특별시,은평구,2364,2178,2061,1590,1585
서울특별시,서대문구,1393,1440,1260,1042,1051
서울특별시,마포구,2229,2029,1929,1578,1520
서울특별시,양천구,1957,1705,1637,1359,1339
서울특별시,강서구,3835,3589,3233,2669,2614
서울특별시,구로구,2286,2063,2063,1671,1562
서울특별시,금천구,1269,1243,1285,1061,1149
서울특별시,영등포구,2664,2449,2421,2079,1978
서울특별시,동작구,2097,2057,1906,1568,1481
서울특별시,관악구,3090,2802,2529,2110,1981
서울특별시,서초구,2234,2084,1861,1469,1306
서울특별시,강남구,2519,2338,2046,1680,1666
서울특별시,송파구,3705,3651,3220,2574,2555
서울특별시,강동구,2371,2129,2433,1892,1645
부산광역시,부산광역시,14781,13780,12128,11081,10618
부산광역시,중구,184,163,135,164,125
부산광역시,서구,420,391,343,347,319
부산광역시,동구,384,369,425,388,339
부산광역시,영도구,413,366,307,304,286
부산광역시,부산진구,1741,1475,1418,1336,1244
부산광역시,동래구,1064,1058,974,793,768
부산광역시,남구,1065,1045,761,702,671
부산광역시,북구,1238,1084,1016,971,983
부산광역시,해운대구,1456,1471,1306,1137,1048
부산광역시,사하구,1505,1337,1096,963,990
부산광역시,금정구,930,815,663,653,590
부산광역시,강서구,851,804,712,699,651
부산광역시,연제구,904,997,806,688,665
부산광역시,수영구,856,814,697,561,624
부산광역시,사상구,998,845,730,722,616
대구광역시,대구광역시,10967,9880,8340,7287,7497
대구광역시,중구,428,363,311,286,357
대구광역시,동구,1725,1510,1288,1224,1254
대구광역시,서구,766,605,492,415,407
대구광역시,남구,667,625,521,467,467
대구광역시,북구,1984,1810,1546,1335,1394
대구광역시,수성구,1314,1213,1072,1007,946
대구광역시,달서구,2379,2249,1895,1532,1599
대구광역시,달성군,1704,1505,1215,1021,1073
인천광역시,인천광역시,14850,13401,11574,10881,10849
인천광역시,중구,709,757,661,704,671
인천광역시,동구,308,238,172,195,213
인천광역시,남구,0,0,0,0,0
인천광역시,연수구,1546,1751,1539,1466,1229
인천광역시,남동구,2679,2311,2095,1788,1785
인천광역시,부평구,2651,2191,1872,1774,1791
인천광역시,계양구,1493,1249,1020,1009,1004
인천광역시,서구,2935,2692,2225,2076,2268
인천광역시,미추홀구,2200,1883,1709,1588,1651
광주광역시,광주광역시,6632,6297,5560,4901,4902
광주광역시,동구,378,430,410,368,381
광주광역시,서구,1289,1263,1044,911,902
광주광역시,남구,837,789,721,586,660
광주광역시,북구,2178,1887,1694,1536,1504
광주광역시,광산구,1950,1928,1691,1500,1455
대전광역시,대전광역시,7377,6602,5976,5419,5662
대전광역시,동구,983,937,799,771,782
대전광역시,중구,1034,901,758,666,729
대전광역시,서구,2446,2213,2059,1862,1888
대전광역시,유성구,2107,1879,1721,1470,1588
대전광역시,대덕구,807,672,639,650,675
울산광역시,울산광역시,5894,5442,4737,4077,4013
울산광역시,중구,1038,952,790,661,645
울산광역시,남구,1662,1540,1395,1189,1141
울산광역시,동구,882,703,630,531,498
울산광역시,북구,1241,1274,1047,927,918
세종특별자치시,세종특별자치시,2038,2039,1854,1627,1664
세종특별자치시,세종시,2038,2039,1854,1627,1664
경기도,경기도,66877,62356,57814,54658,54178
경기도,수원시,6902,6026,5539,5229,5111
경기도,성남시,5228,4453,4269,3565,3865
경기도,의정부시,2025,1876,1800,1630,1732
경기도,안양시,2935,2693,2337,2229,2305
경기도,부천시,4434,3646,3225,3183,3013
경기도,광명시,1674,1489,1230,1103,1113
경기도,평택시,2886,3016,2863,2896,2915
경기도,동두천시,433,361,327,335,312
경기도,안산시,3589,3332,2918,2709,2620
경기도,고양시,4317,4440,4188,4172,3905
경기도,과천시,232,240,311,340,484
경기도,구리시,923,793,730,680,691
경기도,남양주시,2759,2630,2362,2458,2586
경기도,오산시,1332,1223,1160,1001,1019
경기도,시흥시,2582,2596,2534,2361,2305
경기도,군포시,1428,1294,1167,1103,1053
경기도,의왕시,613,628,677,601,621
경기도,하남시,1357,1309,1357,1615,1379
경기도,용인시,4581,4670,4232,3529,3504
