유형,대분류,대상,서비스명,소관기관,금액,지역범위,시설_개수
비용,임신/출산 지원,일반,임신/출산 진료비 지원,건강보험관리공단,,전체,
비용,임신/출산 지원,일반,든든적금/더 행복한 충남적금,충남,,충남,
의료,임신/출산 지원,일반,의료기관 외 출산시 요양비(출산비)지급,건강보험관리공단,,전체,
의료,임신/출산 지원,청소년,청소년 산모 임신/출산 의료비 지원,사회보장정보원,,전체,
비용,임신/출산 지원,장애인,여성장애인 출산지원금 지원,노인장애인과,,전체,
의료,임신/출산 지원,일반,첫아이 맞이 예비맘 종합건강검진 지원,천안시,,천안,
용품,임신/출산 지원,일반,"임산부 엽산제, 철분제 지원",정부,,전체,
의료,임신/출산 지원,일반,산전 초기검사 지원,정부,,전체,
의료,임신/출산 지원,일반,고위험 임산부 의료비 지원,정부,,전체,
의료,임신/출산 지원,일반,난임부부 시술비 지원,정부,,전체,
의료,임신/출산 지원,일반,난임부부 한방의료비 지원,-,,전체,
의료,임신/출산 지원,일반,산모/신생아 건강관리 지원,보건복지부,,전체,
의료,임신/출산 지원,일반,행복 출산을 함께하는 천안형 산후조리,천안시,,천안,
비용,임신/출산 지원,일반,산모/신생아 건강관리 서비스 본인부담금 지원,천안시,,천안,
용품,임신/출산 지원,저소득층,"저소득층 기저귀, 조제분유 지원",보건복지부,,전체,
의료,임신/출산 지원,다자녀,다자녀 맘 산후건강관리 지원,충남,,충남,
의료,임신/출산 지원,일반,신생아 난청(확진)검사 지원 및 보청기 지원,-,,전체,
의료,임신/출산 지원,일반,신생아 선천대사이상 (선별/확진)검사 지원,-,,전체,
의료,임신/출산 지원,일반,선천성대사이상아 의료비 및 특수식이 지원,-,,전체,
의료,임신/출산 지원,일반,미숙아 및 선천성이상아 의료비 지원,-,,전체,
의료,임신/출산 지원,일반,"아토피, 천식 의료비 지원",-,,전체,
식품,임신/출산 지원,일반,영양플러스(보충영양) 지원,-,,전체,
교육,임신/출산 지원,일반,건강한 임신/출산/육아 교실,-,,전체,
용품,임신/출산 지원,일반,모유 전동 유축기 대여,천안시,,천안,
비용,자녀성장 맞춤 보육 지원,일반,보육료 및 양육수당 지원,보건복지부,월 최대54만원,전체,
비용,자녀성장 맞춤 보육 지원,일반,부모급여 지원,보건복지부,월 최대 100만원,전체,
비용,자녀성장 맞춤 보육 지원,일반,아동수당 지원,보건복지부,월10만원,전체,
비용,자녀성장 맞춤 보육 지원,일반,행복키움수당 지원,보건복지부,월10만원,충남,
비용,자녀성장 맞춤 보육 지원,일반,아이돌봄지원,천안시건강가정지원센터,,천안,
비용,출산장려 및 다자녀가정 우대정책,일반,출생축하금 지원,여성가족과,최대 인당 100만원,전체,
비용,출산장려 및 다자녀가정 우대정책,일반,첫만남이용권 지원,여성가족과,최대 인당 300만원,전체,
비용,출산장려 및 다자녀가정 우대정책,일반,입양 축하금 지원,아동보육과,1명당 3백만원,천안,
용품,출산장려 및 다자녀가정 우대정책,일반,신생아 출생축하용품 지급,여성가족과,,천안,
용품,출산장려 및 다자녀가정 우대정책,다자녀,둘째 이상 자녀 출산가정 종량제봉투 지원,여성가족과,20L 100매,천안,
비용,출산장려 및 다자녀가정 우대정책,일반,아빠육아휴직 장려금 지원,여성가족과,월 30만원,천안,
시설,출산장려 및 다자녀가정 우대정책,일반,임신부 우대 스토어 운영,여성가족과,5~30% 할인율,천안,
비용,출산장려 및 다자녀가정 우대정책,다자녀,셋째자녀이상 가정 상수도 요금 감면,여성가족과,월2000원,전체,
용품,출산장려 및 다자녀가정 우대정책,일반,영유아 교통안전용품 지원,안전총괄과,,천안,
비용,출산장려 및 다자녀가정 우대정책,일반,임산부 공영주차장 주차요금 면제,"여성가족과, 천안시도시공사",100% 감면,천안,
비용,출산장려 및 다자녀가정 우대정책,다자녀,다자녀 행복키움 카드 발급,도 출산보육정책과,5~30% 할인율,충남,
비용,출산장려 및 다자녀가정 우대정책,다자녀,천안시 태학산자연휴양림 시설 사용료 감면,천안시 도시공사,50% 감면,전체,
비용,출산장려 및 다자녀가정 우대정책,다자녀,천안시 종합체육시설 사용료 감면,천안시 도시공사,"다자녀 - 50% 감면, 여성-10%감면",전체,
비용,출산장려 및 다자녀가정 우대정책,다자녀,천안시 국민여가캠핑장 사용료 감면,천안시 도시공사,50% 감면,전체,
비용,전국공통 출산장려 및 다자녀 가정 우대정책,근로자,육아휴직 급여 및 아빠 육아휴직 보너스제,고용노동부,최대  450만원,전체,
비용,전국공통 출산장려 및 다자녀 가정 우대정책,일반,맘편한 KTX 임산부 할인,코레일,등급상향,전체,
비용,전국공통 출산장려 및 다자녀 가정 우대정책,일반,SRT 임산부 할인,코레일,30%감면,전체,
비용,전국공통 출산장려 및 다자녀 가정 우대정책,다자녀,다자녀/출산가구 전기요금 경감,한국전력공사,30%감면,전체,
비용,전국공통 출산장려 및 다자녀 가정 우대정책,다자녀,다자녀 가정 도시가스 요금 경감,중부도시가스,최대 월 18000원 감면,전체,
비용,전국공통 출산장려 및 다자녀 가정 우대정책,다자녀,다자녀 가정 자동차 취득세 감면,차량등록사업소,최대 200만원 경감,전체,
비용,전국공통 출산장려 및 다자녀 가정 우대정책,다자녀,다자녀 국가장학금 지원,국가장학재단,범위 내 차등지원,전체,
비용,전국공통 출산장려 및 다자녀 가정 우대정책,일반,자녀장려금 지원,국세청,최대 100만원,전체,
비용,전국공통 출산장려 및 다자녀 가정 우대정책,다자녀,다자녀 가정 공항주차장 할인,인천공항/한국공항공사,50%,전체,
비용,가구별 맞춤 지원,장애가정,여성장애인 출산비용 지원,보건복지부,1000000,전체,
비용,가구별 맞춤 지원,장애가정,장애아동 입양양육 지원,보건복지부,최대 627000,전체,
비용,가구별 맞춤 지원,장애가정,장애아동 보육료 지원,보건복지부,587000원,전체,
비용,가구별 맞춤 지원,장애가정,장애아동 양육 지원,보건복지부,최대 월 200000,전체,
비용,가구별 맞춤 지원,저소득 한부모가족,한부모 가족 아동양육비 지원,보건복지부,최대 월 210000,전체,
비용,가구별 맞춤 지원,저소득 한부모가족,청소년 한부모 가족 지원,보건복지부,최대 월 400000,전체,
비용,가구별 맞춤 지원,저소득 한부모가족,한부모 가족 생활안정지원,보건복지부,최대 연 400000,전체,
비용,가구별 맞춤 지원,저소득 한부모가족,한부모 가족 자녀지원,보건복지부,최대 연 100000,전체,
주택,가구별 맞춤 지원,저소득 한부모가족,한부모 가족 매입임대 주거지원,천안시건강가정지원센터,,천안,
시설,가구별 맞춤 지원,저소득 한부모가족,미혼모자가족 복지시설 지원,천안시 여성가족과,,전체,2
교육,가구별 맞춤 지원,저소득 한부모가족,미혼모/한부모 심리정서지원 심화프로그램,천안시건강가정지원센터,,천안,
비용,가구별 맞춤 지원,신혼부부,저소득층 신혼부부 전세임대주택,전체,최대 130000000,전체,
비용,가구별 맞춤 지원,신혼부부,생애최초 주택구입 취득세 감면,전체,최대 2000000,전체,
비용,가구별 맞춤 지원,신혼부부,출산양육을 위한 주택구입시 취득세 감면,전체,최대 2000000,전체,
