유형,대상,서비스명,소관기관,구비 서류,신청방법,신청기관
휴가,일반,배우자출산휴가,고용노동부,출생증명서 등 사업주 요청서류,출산일부터 30일 이내 사업주에게 신청,사업주
,일반,(건보)건강보험 피부양자 신청(지역가입자),보건복지부,가족관계증명서,"우편, 팩스, 인터넷(www.nhis.or.kr)",건강보험공단지사
비용,일반,의료기관 외 출산시 출산비 지급,보건복지부,출산확인서,"방문, 우편, 팩스",건강보험공단지사
비용,일반,부모급여,보건복지부,"통장사본(아동 또는 부모명의), 가족관계증명서(부와 모의 주소지가 다를 경우), 신분증","방문, 인터넷(www.bokjiro.go.kr) * 생후60일 이내에 신청해야 출생일부터 소급지원",읍·면·동행정복지센터
비용,일반,아동수당,보건복지부,신분증,"방문, 인터넷(www.bokjiro.go.kr)",읍·면·동행정복지센터
비용,일반,영유아보육료 지원,보건복지부,"종일형 사유확인서(종일반 신청시), 아이행복카드발급 신청 및 개인신용정보동의서","방문, 인터넷(www.bokjiro.go.kr)",읍·면·동행정복지센터
돌봄,일반,아이돌봄 서비스,여성가족부,정부지원자격증명서류,"방문, 인터넷(www.bokjiro.go.kr)","시·군·구청, 읍·면·동행정복지센터"
의료,일반,선천성대사이상 검사 및 환아 관리,보건복지부,"진단서, 영수증, 주민등록등본, 통장사본",방문,보건소
의료,일반,고위험 임산부 의료비 지원 (기준 중위소득 180%이하),보건복지부,"진단서, 입퇴원진료확인서, 진료비영수증, 통장사본, 출생보고서(출생증명서), 주민등록등본, 건강보험증사본, 건강보험료 납부확인서,개인정보활용동의서, 신분증",방문,보건소
의료,일반,조산아 및 저체중출생아 (37주미만 또는 2500g이하) 외래진료비 본인부담률 경감,보건복지부,"신청서, 출생증명서, 주민등록등본 또는 가족관계증명서(건강보험자격이 있는 경우 생략가능)","방문, 우편, 팩스",건강보험공단지사
의료,일반,어린이 국가예방접종 지원,보건복지부,주민등록등본 또는 모자보건수첩,방문,"보건소, 위탁의료기관"
비용,일반,출산가구 전기료 경감,한국전력공사,"할인신청서, 주민등록등본","방문, 우편","주민센터, 한전"
비용,근로자,출산육아기 고용안정지원금,고용노동부,"근로계약서, 임금대장, 임신기간·출산휴가·육아휴직 실시 증명서류","방문, 우편, 인터넷(www.work.go.kr)",고용센터
비용,근로자,출산전후 휴가급여,고용노동부,"출산전후 휴가확인서, 근로계약서, 임금대장","방문, 우편, 인터넷(www.work.go.kr)",고용센터
비용,근로자,육아휴직급여,고용노동부,"육아휴직확인서, 근로계약서, 임금대장","방문, 우편, 인터넷(www.work.go.kr)",고용센터
비용,근로자,육아기 근로시간 단축급여,고용노동부,"육아기 근로시간 단축 확인서, 근로계약서, 임금대장","방문, 우편, 인터넷(www.work.go.kr)",고용센터
의료,다자녀,신생아 난청조기진단 사업(신생아 청각선별검사),보건복지부,"부모 신분증(부모 모두 필요), 주민등록등본",방문,보건소
의료,다자녀,미숙아 및 선천성이상아 의료비,보건복지부,"진료비영수증, 통장사본, 출생증명서(출생보고서), 진단서(선천성이상아), 주민등록등본(또는 가족관계증명서)",방문,보건소
주택,다자녀,(다자녀)주택특별공급,국토교통부,"가족관계증명서, 주민등록등·초본, 최초입주자 모집공고일 현재 무주택입증서류, 청약통장가입확인서, 무주택서약서, 인감증명서 또는 본인서명사실확인서, 신분증",방문,LH공사
