"시점","행정구역별(읍면동)","연령별",총인구(명),총인구_남자(명),총인구_여자(명)
"2015","전국","합계",51069375,25608502,25460873
"2015","전국","15~19세",3194079,1668683,1525396
"2015","전국","20~24세",3531108,1887776,1643332
"2015","전국","25~29세",3265288,1728888,1536400
"2015","전국","30~34세",3811610,1986796,1824814
"2015","전국","35~39세",3926862,2022466,1904396
"2015","전국","40~44세",4338827,2218442,2120385
"2015","전국","45~49세",4388157,2217013,2171144
"2015","전국","50~54세",4263447,2153186,2110261
"2015","전국","55~59세",3956849,1969232,1987617
"2015","전국","60~64세",2821457,1379694,1441763
"2015","전국","15세미만",6954313,3591551,3362762
"2015","전국","65세이상",6617378,2784775,3832603
"2015","서울특별시","합계",9904312,4859535,5044777
"2015","서울특별시","15~19세",551140,281128,270012
"2015","서울특별시","20~24세",711944,352341,359603
"2015","서울특별시","25~29세",765654,377599,388055
"2015","서울특별시","30~34세",857426,432854,424572
"2015","서울특별시","35~39세",793411,401512,391899
"2015","서울특별시","40~44세",836876,421126,415750
"2015","서울특별시","45~49세",824198,406727,417471
"2015","서울특별시","50~54세",806399,393503,412896
"2015","서울특별시","55~59세",783847,374379,409468
"2015","서울특별시","60~64세",582420,277581,304839
"2015","서울특별시","15세미만",1169991,602163,567828
"2015","서울특별시","65세이상",1221006,538622,682384
"2015","부산광역시","합계",3448737,1701347,1747390
"2015","부산광역시","15~19세",204961,107728,97233
"2015","부산광역시","20~24세",248602,132959,115643
"2015","부산광역시","25~29세",212741,111618,101123
"2015","부산광역시","30~34세",239683,123727,115956
"2015","부산광역시","35~39세",245563,126063,119500
"2015","부산광역시","40~44세",268002,134657,133345
"2015","부산광역시","45~49세",282139,137543,144596
"2015","부산광역시","50~54세",295246,141969,153277
"2015","부산광역시","55~59세",308539,147484,161055
"2015","부산광역시","60~64세",239182,114660,124522
"2015","부산광역시","15세미만",403274,208324,194950
"2015","부산광역시","65세이상",500805,214615,286190
"2015","대구광역시","합계",2466052,1228511,1237541
"2015","대구광역시","15~19세",166041,88179,77862
"2015","대구광역시","20~24세",179886,99182,80704
"2015","대구광역시","25~29세",147553,80981,66572
"2015","대구광역시","30~34세",164637,84206,80431
"2015","대구광역시","35~39세",178427,89710,88717
"2015","대구광역시","40~44세",210088,103561,106527
"2015","대구광역시","45~49세",223233,109810,113423
"2015","대구광역시","50~54세",217525,107366,110159
"2015","대구광역시","55~59세",196256,96598,99658
"2015","대구광역시","60~64세",143833,68842,74991
"2015","대구광역시","15세미만",326711,169951,156760
"2015","대구광역시","65세이상",311862,130125,181737
"2015","인천광역시","합계",2890451,1455017,1435434
"2015","인천광역시","15~19세",178680,92515,86165
"2015","인천광역시","20~24세",201475,106897,94578
"2015","인천광역시","25~29세",191414,99680,91734
"2015","인천광역시","30~34세",226657,118283,108374
"2015","인천광역시","35~39세",233734,121355,112379
"2015","인천광역시","40~44세",252877,129684,123193
"2015","인천광역시","45~49세",257583,128105,129478
"2015","인천광역시","50~54세",259355,130922,128433
"2015","인천광역시","55~59세",228142,115321,112821
"2015","인천광역시","60~64세",145648,72459,73189
"2015","인천광역시","15세미만",406846,209227,197619
"2015","인천광역시","65세이상",308040,130569,177471
"2015","광주광역시","합계",1502881,748867,754014
"2015","광주광역시","15~19세",113385,58626,54759
"2015","광주광역시","20~24세",118234,60865,57369
"2015","광주광역시","25~29세",94121,48775,45346
"2015","광주광역시","30~34세",110306,56574,53732
"2015","광주광역시","35~39세",117812,59316,58496
"2015","광주광역시","40~44세",132138,66368,65770
"2015","광주광역시","45~49세",131046,65889,65157
"2015","광주광역시","50~54세",117496,59081,58415
"2015","광주광역시","55~59세",104589,51584,53005
"2015","광주광역시","60~64세",70853,34236,36617
"2015","광주광역시","15세미만",226693,117445,109248
"2015","광주광역시","65세이상",166208,70108,96100
"2015","대전광역시","합계",1538394,772243,766151
"2015","대전광역시","15~19세",111778,58503,53275
"2015","대전광역시","20~24세",129333,69006,60327
"2015","대전광역시","25~29세",102960,55473,47487
"2015","대전광역시","30~34세",111896,57146,54750
"2015","대전광역시","35~39세",117076,58510,58566
"2015","대전광역시","40~44세",131185,65652,65533
"2015","대전광역시","45~49세",132439,66027,66412
"2015","대전광역시","50~54세",124062,62074,61988
"2015","대전광역시","55~59세",112837,56067,56770
"2015","대전광역시","60~64세",76905,37934,38971
"2015","대전광역시","15세미만",223618,115467,108151
"2015","대전광역시","65세이상",164305,70384,93921
"2015","울산광역시","합계",1166615,606924,559691
"2015","울산광역시","15~19세",77393,42198,35195
"2015","울산광역시","20~24세",79289,46427,32862
"2015","울산광역시","25~29세",75299,42924,32375
"2015","울산광역시","30~34세",91323,49294,42029
"2015","울산광역시","35~39세",93835,49651,44184
"2015","울산광역시","40~44세",101733,51327,50406
"2015","울산광역시","45~49세",111764,56073,55691
"2015","울산광역시","50~54세",108010,56240,51770
"2015","울산광역시","55~59세",92333,47354,44979
