항목,연령구분5세,시점,값
H10,10_14세,2015년 01월,18248
H10,5_9세,2015년 01월,29569
H10,5세미만,2015년 01월,50614
H16,10_14세,2015년 01월,4710
H16,5_9세,2015년 01월,4181
H16,5세미만,2015년 01월,4171
H20,10_14세,2015년 01월,118
H20,5_9세,2015년 01월,46
H20,5세미만,2015년 01월,18
H30,10_14세,2015년 01월,6
H30,5_9세,2015년 01월,4
H30,5세미만,2015년 01월,1
H40,10_14세,2015년 01월,740
H40,5_9세,2015년 01월,271
H40,5세미만,2015년 01월,78
J00,10_14세,2015년 01월,20548
J00,5_9세,2015년 01월,51804
J00,5세미만,2015년 01월,164860
J01,10_14세,2015년 01월,36327
J01,5_9세,2015년 01월,97150
J01,5세미만,2015년 01월,181151
J02,10_14세,2015년 01월,29638
J02,5_9세,2015년 01월,64452
J02,5세미만,2015년 01월,136897
J03,10_14세,2015년 01월,43510
J03,5_9세,2015년 01월,82462
J03,5세미만,2015년 01월,115103
J04,10_14세,2015년 01월,17500
J04,5_9세,2015년 01월,27624
J04,5세미만,2015년 01월,35797
J06,10_14세,2015년 01월,33875
J06,5_9세,2015년 01월,68944
J06,5세미만,2015년 01월,171969
K12,10_14세,2015년 01월,5445
K12,5_9세,2015년 01월,7324
K12,5세미만,2015년 01월,6345
H10,10_14세,2015년 02월,15753
H10,5_9세,2015년 02월,26577
H10,5세미만,2015년 02월,44838
H16,10_14세,2015년 02월,4190
H16,5_9세,2015년 02월,3535
H16,5세미만,2015년 02월,3532
H20,10_14세,2015년 02월,120
H20,5_9세,2015년 02월,44
H20,5세미만,2015년 02월,19
H30,10_14세,2015년 02월,10
H30,5_9세,2015년 02월,3
H30,5세미만,2015년 02월,4
H40,10_14세,2015년 02월,569
H40,5_9세,2015년 02월,211
H40,5세미만,2015년 02월,62
J00,10_14세,2015년 02월,28759
J00,5_9세,2015년 02월,64735
J00,5세미만,2015년 02월,159345
J01,10_14세,2015년 02월,40514
J01,5_9세,2015년 02월,115127
J01,5세미만,2015년 02월,183407
J02,10_14세,2015년 02월,44149
J02,5_9세,2015년 02월,83352
J02,5세미만,2015년 02월,135113
J03,10_14세,2015년 02월,65178
J03,5_9세,2015년 02월,106672
J03,5세미만,2015년 02월,115841
J04,10_14세,2015년 02월,24229
J04,5_9세,2015년 02월,34503
J04,5세미만,2015년 02월,34288
J06,10_14세,2015년 02월,49712
J06,5_9세,2015년 02월,88911
J06,5세미만,2015년 02월,171214
K12,10_14세,2015년 02월,4508
K12,5_9세,2015년 02월,6036
K12,5세미만,2015년 02월,5169
H10,10_14세,2015년 03월,19456
H10,5_9세,2015년 03월,31609
H10,5세미만,2015년 03월,52973
H16,10_14세,2015년 03월,5474
H16,5_9세,2015년 03월,4260
H16,5세미만,2015년 03월,4098
H20,10_14세,2015년 03월,157
H20,5_9세,2015년 03월,49
H20,5세미만,2015년 03월,19
H30,10_14세,2015년 03월,11
H30,5_9세,2015년 03월,2
H30,5세미만,2015년 03월,3
H40,10_14세,2015년 03월,526
H40,5_9세,2015년 03월,261
