"시군구별",2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"전국",14153,14610,12940,15983,16694,17582,305507,302828,281635,264455,257622,239159,213502,192507,191690,193657
"서울특별시",2770,2739,2462,2914,2931,3202,64823,64193,57643,53776,52005,48261,44746,37012,35752,36324
"종로구",42,40,27,38,39,35,840,806,760,700,676,590,565,478,486,440
"중구",43,36,41,56,55,54,851,916,799,792,778,722,653,590,511,595
"용산구",79,85,65,104,88,92,1560,1515,1366,1357,1400,1303,1175,995,948,1002
"성동구",93,88,94,115,110,115,2125,2083,1944,2096,2000,1758,1573,1272,1179,1280
"광진구",120,122,88,106,104,112,2589,2576,2285,2082,2164,1893,1661,1399,1317,1361
"동대문구",100,103,97,104,117,102,2123,2159,1796,1657,1747,1613,1524,1228,1201,1317
"중랑구",104,118,118,137,108,137,2769,2716,2591,2302,2253,2031,1850,1618,1723,1595
"성북구",98,109,95,115,104,132,2415,2379,2131,1917,1919,1880,1672,1471,1429,1396
"강북구",58,71,73,81,70,77,1819,1715,1500,1436,1344,1260,1041,891,838,844
"도봉구",69,55,57,76,70,72,1791,1810,1636,1543,1471,1316,1187,963,940,913
"노원구",118,126,110,137,137,130,3176,3146,2778,2420,2240,2138,1961,1765,1748,1639
"은평구",102,118,115,128,137,171,2916,2812,2573,2331,2364,2178,2061,1590,1585,1621
"서대문구",102,86,63,77,82,89,1732,1722,1660,1546,1393,1440,1260,1042,1051,1130
"마포구",114,122,116,116,126,140,2827,3205,2588,2294,2229,2029,1929,1578,1520,1573
"양천구",94,92,97,86,106,112,2490,2516,2258,2021,1957,1705,1637,1359,1339,1252
"강서구",191,172,161,190,198,247,4338,4578,4111,4069,3835,3589,3233,2669,2614,2558
"구로구",124,126,107,136,141,161,3156,3045,2674,2460,2286,2063,2063,1671,1562,1655
"금천구",80,60,71,70,87,101,1556,1481,1324,1439,1269,1243,1285,1061,1149,1034
"영등포구",165,161,134,165,169,191,2951,2934,2609,2539,2664,2449,2421,2079,1978,2053
"동작구",132,116,92,119,105,146,2962,2855,2514,2282,2097,2057,1906,1568,1481,1533
"관악구",156,141,132,150,149,154,3949,3859,3537,3205,3090,2802,2529,2110,1981,1951
"서초구",129,105,101,119,103,121,2871,2846,2676,2288,2234,2084,1861,1469,1306,1425
"강남구",133,161,124,154,176,199,3560,3380,3032,2677,2519,2338,2046,1680,1666,1961
"송파구",190,205,172,185,216,180,4480,4386,4102,3896,3705,3651,3220,2574,2555,2513
"강동구",134,121,112,150,134,132,2977,2753,2399,2427,2371,2129,2433,1892,1645,1683
"부산광역시",737,776,692,871,884,893,18927,18553,17113,15677,14781,13780,12128,11081,10618,10303
"중구",7,10,6,10,11,8,297,261,214,224,184,163,135,164,125,116
"서구",17,21,23,25,32,27,554,557,476,435,420,391,343,347,319,301
"동구",26,17,35,38,38,31,493,422,385,361,384,369,425,388,339,352
"영도구",17,24,17,22,21,27,611,546,521,436,413,366,307,304,286,267
"부산진구",99,107,90,100,105,118,2309,2131,1914,1819,1741,1475,1418,1336,1244,1365
"동래구",67,75,60,59,67,67,1339,1223,1237,1088,1064,1058,974,793,768,817
"남구",45,68,51,55,66,63,1448,1313,1153,1023,1065,1045,761,702,671,713
"북구",63,71,52,63,78,65,1550,1652,1668,1357,1238,1084,1016,971,983,864
"해운대구",72,67,79,72,86,101,1936,2040,1760,1576,1456,1471,1306,1137,1048,1032
"사하구",53,49,60,78,68,69,1922,1786,1738,1697,1505,1337,1096,963,990,847
"금정구",41,46,38,68,46,49,1177,1184,1004,974,930,815,663,653,590,593
"강서구",52,48,42,60,48,48,624,768,839,905,851,804,712,699,651,619
"연제구",30,39,33,60,60,58,1114,1071,1030,960,904,997,806,688,665,603
"수영구",54,46,34,49,50,37,1096,1159,983,884,856,814,697,561,624,568
"사상구",49,43,42,64,60,67,1403,1382,1209,1106,998,845,730,722,616,649
"기장군",0,0,0,0,0,0,1054,1058,982,832,772,746,739,653,699,0
"기장군",45,45,30,48,48,58,-,-,-,-,-,-,-,-,-,597
"대구광역시",626,649,546,689,765,780,12552,12545,12216,11392,10967,9880,8340,7287,7497,8150
"중구",27,36,31,44,52,43,488,502,469,363,428,363,311,286,357,459
"동구",114,118,96,106,129,139,1939,1956,1978,1753,1725,1510,1288,1224,1254,1359
"서구",44,49,30,59,50,59,1137,1036,946,771,766,605,492,415,407,539
"남구",52,32,37,39,41,55,893,939,830,732,667,625,521,467,467,547
"북구",115,109,79,112,129,128,2239,2206,2126,2077,1984,1810,1546,1335,1394,1361
"수성구",57,90,73,84,93,104,1864,1691,1572,1403,1314,1213,1072,1007,946,997
"달서구",133,143,128,154,155,143,3038,3117,2786,2521,2379,2249,1895,1532,1599,1789
"달성군",0,0,0,0,0,0,954,1098,1509,1772,1704,1505,1215,1021,1073,0
"달성군",83,68,72,91,111,104,-,-,-,-,-,-,-,-,-,1063
"군위군",1,4,0,0,5,5,-,-,-,-,-,-,-,-,-,36
"인천광역시",835,908,806,952,964,1108,17251,17118,16092,15235,14850,13401,11574,10881,10849,11621
"중구",57,53,61,71,55,76,731,701,677,704,709,757,661,704,671,775
"동구",19,13,16,28,23,19,401,365,380,310,308,238,172,195,213,230
"남구",0,0,0,0,0,0,2567,2463,2428,2441,0,0,0,0,0,0
"연수구",91,107,82,93,117,133,1706,1638,1627,1535,1546,1751,1539,1466,1229,1317
"남동구",139,123,131,135,142,183,3067,3256,3036,2826,2679,2311,2095,1788,1785,1770
"부평구",139,157,115,163,164,192,3468,3396,3064,2851,2651,2191,1872,1774,1791,1981
"계양구",70,76,78,77,71,87,1964,1934,1690,1585,1493,1249,1020,1009,1004,962
"서구",200,229,192,223,237,247,3002,2970,2860,2630,2935,2692,2225,2076,2268,2674
"미추홀구",105,133,107,140,130,146,-,-,-,-,2200,1883,1709,1588,1651,1630
"강화군",0,0,0,0,0,0,210,265,219,234,207,221,195,190,166,0
"옹진군",0,0,0,0,0,0,135,130,111,119,122,108,86,91,71,0
"강화군",8,9,13,12,18,19,-,-,-,-,-,-,-,-,-,181
"옹진군",7,8,11,10,7,6,-,-,-,-,-,-,-,-,-,101
"광주광역시",351,380,308,436,420,449,8213,7945,7468,7141,6632,6297,5560,4901,4902,5169
"동구",32,27,25,39,30,52,496,453,452,450,378,430,410,368,381,460
"서구",70,75,56,99,89,84,1681,1629,1655,1532,1289,1263,1044,911,902,993
"남구",36,46,43,50,47,57,1016,1064,989,926,837,789,721,586,660,658
"북구",97,112,87,121,130,129,2674,2463,2190,2153,2178,1887,1694,1536,1504,1520
"광산구",116,120,97,127,124,127,2346,2336,2182,2080,1950,1928,1691,1500,1455,1538
"대전광역시",395,365,345,408,450,424,9118,8805,8325,7697,7377,6602,5976,5419,5662,5212
"동구",63,42,53,65,54,53,1342,1241,1178,1039,983,937,799,771,782,713
"중구",35,43,43,64,61,47,1405,1303,1212,1106,1034,901,758,666,729,621
"서구",120,132,109,131,139,156,2905,2906,2624,2584,2446,2213,2059,1862,1888,1777
"유성구",132,106,101,110,141,133,2314,2272,2320,2126,2107,1879,1721,1470,1588,1567
"대덕구",45,42,39,38,55,35,1152,1083,991,842,807,672,639,650,675,534
"울산광역시",339,304,252,373,410,398,7674,7483,7006,6331,5894,5442,4737,4077,4013,4274
"중구",56,49,39,66,86,72,1374,1427,1361,1210,1038,952,790,661,645,726
"남구",100,81,82,118,137,136,2274,2075,1939,1785,1662,1540,1395,1189,1141,1277
"동구",50,53,33,52,44,45,1495,1451,1395,1085,882,703,630,531,498,572
"북구",65,71,64,78,78,76,1270,1258,1197,1200,1241,1274,1047,927,918,933
"울주군",0,0,0,0,0,0,1261,1272,1114,1051,1071,973,875,769,811,0
"울주군",68,50,34,59,65,69,-,-,-,-,-,-,-,-,-,766
"세종특별자치시",120,133,97,132,143,146,920,1498,1612,1728,2038,2039,1854,1627,1664,1705
"세종시",120,133,97,132,143,146,920,1498,1612,1728,2038,2039,1854,1627,1664,1705
"경기도",3943,4067,3747,4515,4632,5049,74306,73950,70052,66429,66877,62356,57814,54658,54178,54221
"수원시",382,396,393,439,468,521,7986,7997,7765,7112,6902,6026,5539,5229,5111,5523
"장안구",54,61,64,84,75,104,1693,1650,1433,1248,1237,1053,960,910,924,965
