"시군구별",2014,2015,2016,2017,2018,2019,2020,2021,2022
"시군구별",합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율
"전국",1.205,1.239,1.172,1.052,0.977,0.918,0.837,0.808,0.778
"서울특별시",0.983,1.001,0.940,0.836,0.761,0.717,0.642,0.626,0.593
"종로구",0.790,0.813,0.784,0.646,0.606,0.648,0.522,0.531,0.477
"중구",1.004,0.946,0.974,0.824,0.737,0.780,0.688,0.634,0.606
"용산구",0.978,1.005,0.907,0.793,0.747,0.713,0.634,0.664,0.596
"성동구",1.027,1.095,1.013,0.972,0.909,0.855,0.783,0.764,0.723
"광진구",0.895,0.903,0.867,0.749,0.713,0.652,0.527,0.525,0.461
"동대문구",0.914,0.960,0.889,0.822,0.753,0.765,0.699,0.660,0.620
"중랑구",1.006,1.051,0.995,0.906,0.825,0.777,0.660,0.650,0.659
"성북구",0.949,0.991,0.909,0.818,0.737,0.707,0.676,0.656,0.649
"강북구",0.955,0.922,0.878,0.825,0.647,0.617,0.550,0.541,0.483
"도봉구",1.000,1.010,0.947,0.833,0.774,0.697,0.601,0.579,0.573
"노원구",1.109,1.096,1.068,0.938,0.809,0.776,0.695,0.701,0.716
"은평구",1.028,1.003,0.943,0.814,0.772,0.697,0.623,0.604,0.613
"서대문구",0.954,0.913,0.934,0.823,0.727,0.685,0.685,0.635,0.607
"마포구",0.915,0.986,0.945,0.806,0.733,0.681,0.594,0.587,0.529
"양천구",1.005,1.034,1.008,0.898,0.771,0.742,0.644,0.645,0.608
"강서구",1.064,1.129,1.059,0.925,0.826,0.760,0.675,0.617,0.588
"구로구",1.142,1.169,1.070,0.943,0.838,0.794,0.737,0.737,0.684
"금천구",1.019,1.086,0.944,0.901,0.796,0.709,0.668,0.612,0.588
"영등포구",1.025,1.085,1.011,0.884,0.851,0.829,0.705,0.713,0.671
"동작구",1.007,1.012,0.912,0.831,0.737,0.697,0.655,0.602,0.567
"관악구",0.834,0.833,0.777,0.662,0.597,0.536,0.474,0.437,0.422
"서초구",1.014,1.012,0.928,0.799,0.800,0.715,0.656,0.666,0.599
"강남구",0.863,0.857,0.802,0.706,0.631,0.612,0.537,0.523,0.490
"송파구",0.996,1.008,0.958,0.871,0.800,0.770,0.665,0.623,0.598
"강동구",1.039,1.036,0.938,0.884,0.820,0.758,0.748,0.797,0.719
"부산광역시",1.090,1.139,1.095,0.976,0.899,0.827,0.747,0.728,0.723
